# Theoretical BHMF at redshift 5. Liu & Inayoshi (2024). 
# Parameters: n_0h = 1e-2 Mpc-3, n_0l = 1e1 Mpc-3
# Data explanation: M_BH [M_sun], black hole mass measured in solar masses; Phi_h [Mpc-3 dex-1], BHMF (unobscured + obscured) of heavy-seed BHs; Phi_l [Mpc-3 dex-1], BHMF (unobscured + obscured) of light-seed BHs.
M_BH, Phi_h, Phi_l
1.883649089489800810e+00, 0.000000000000000000e+00, 1.860920158540660185e-26
1.927524913190936218e+00, 0.000000000000000000e+00, 3.221336477073391883e-26
1.972422736114853636e+00, 0.000000000000000000e+00, 5.460799860600033336e-26
2.018366363681561193e+00, 0.000000000000000000e+00, 9.090488040604020675e-26
2.065380155810529139e+00, 0.000000000000000000e+00, 1.489676049336705344e-25
2.113489039836647265e+00, 0.000000000000000000e+00, 2.408283420281040341e-25
2.162718523727020337e+00, 0.000000000000000000e+00, 3.848189647205651708e-25
2.213094709605637700e+00, 0.000000000000000000e+00, 6.087718824916478384e-25
2.264644307593060013e+00, 0.000000000000000000e+00, 9.548198761160197408e-25
2.317394649968478770e+00, 0.000000000000000000e+00, 1.486581875175139320e-24
2.371373705661655507e+00, 0.000000000000000000e+00, 2.299902499749470050e-24
2.426610095082415430e+00, 0.000000000000000000e+00, 3.538875214533432354e-24
2.483133105295570520e+00, 0.000000000000000000e+00, 5.419706739942044492e-24
2.540972705549305211e+00, 0.000000000000000000e+00, 8.266197358923669308e-24
2.600159563165272303e+00, 0.000000000000000000e+00, 1.256239762859847792e-23
2.660725059798809689e+00, 0.000000000000000000e+00, 1.903061782325378290e-23
2.722701308077912330e+00, 0.000000000000000000e+00, 2.874679080391915063e-23
2.786121168629770217e+00, 0.000000000000000000e+00, 4.331076995059581803e-23
2.851018267503909520e+00, 0.000000000000000000e+00, 6.509727299012870222e-23
2.917427014001166885e+00, 0.000000000000000000e+00, 9.762500163058806580e-23
2.985382618917959974e+00, 0.000000000000000000e+00, 1.460986187221398906e-22
3.054921113215513184e+00, 0.000000000000000000e+00, 2.182031092566147134e-22
3.126079367123955066e+00, 0.000000000000000000e+00, 3.252659720853077395e-22
3.198895109691398453e+00, 0.000000000000000000e+00, 4.839545273155027176e-22
3.273406948788382120e+00, 0.000000000000000000e+00, 7.187502939114069070e-22
3.349654391578277046e+00, 0.000000000000000000e+00, 1.065549749272559587e-21
3.427677865464503704e+00, 0.000000000000000000e+00, 1.576894848996981291e-21
3.507518739525680385e+00, 0.000000000000000000e+00, 2.329557371233838588e-21
3.589219346450053028e+00, 0.000000000000000000e+00, 3.435516674211718232e-21
3.672823004980847461e+00, 0.000000000000000000e+00, 5.057820730320850056e-21
3.758374042884442545e+00, 0.000000000000000000e+00, 7.433461676127242520e-21
3.845917820453535363e+00, 0.000000000000000000e+00, 1.090630899177642204e-20
3.935500754557774705e+00, 0.000000000000000000e+00, 1.597443745511978213e-20
4.027170343254590890e+00, 0.000000000000000000e+00, 2.335801993175927911e-20
4.120975190973302560e+00, 0.000000000000000000e+00, 3.409654640850095511e-20
4.216965034285822256e+00, 0.000000000000000000e+00, 4.968778743421012808e-20
4.315190768277653355e+00, 0.000000000000000000e+00, 7.228607064311706718e-20
4.415704473533125451e+00, 0.000000000000000000e+00, 1.049846799146324527e-19
4.518559443749224691e+00, 0.000000000000000000e+00, 1.522173472160292712e-19
4.623810213992603835e+00, 0.000000000000000000e+00, 2.203280377877338476e-19
4.731512589614806252e+00, 0.000000000000000000e+00, 3.183781229832928562e-19
4.841723675840994723e+00, 0.000000000000000000e+00, 4.592877931041431797e-19
4.954501908047903136e+00, 0.000000000000000000e+00, 6.614472209904374946e-19
5.069907082747044491e+00, 0.000000000000000000e+00, 9.509867251447155268e-19
5.188000389289611824e+00, 0.000000000000000000e+00, 1.364969740006207186e-18
5.308844442309883505e+00, 0.000000000000000000e+00, 1.955875652531055200e-18
5.432503314924331583e+00, 0.000000000000000000e+00, 2.797882280994154833e-18
5.559042572704036012e+00, 0.000000000000000000e+00, 3.995654664332168947e-18
5.688529308438415200e+00, 0.000000000000000000e+00, 5.696617951948702570e-18
5.821032177708715061e+00, 0.000000000000000000e+00, 8.108064810900643409e-18
5.956621435290104571e+00, 0.000000000000000000e+00, 1.152095893380054828e-17
