# Theoretical AGN LF at redshift 5. Liu & Inayoshi (2024). 
# Parameters: n_0h = 1e-2 Mpc-3, n_0l = 1e0 Mpc-3
# Data explanation: M_1450 [mag], UV magnitude at 1450 Angstrom; Phi_h [Mpc-3 mag-1], unobscured AGN LF of heavy-seed BHs; Phi_l [Mpc-3 mag-1], unobscured AGN LF of light-seed BHs; Phi_h_intrinsic [Mpc-3 mag-1], intrinsic (unobscured+obscured) AGN LF of heavy-seed BHs; Phi_l_intrinsic [Mpc-3 mag-1], intrinsic (unobscured+obscured) AGN LF of light-seed BHs.
M_1450, Phi_h, Phi_l, Phi_h_intrinsic, Phi_l_intrinsic
-2.000882352941176379e+01, 1.026468673041469980e-05, 1.209761752418639770e-05, 5.037228144433683505e-05, 5.936709134323859221e-05
-1.985000000000000142e+01, 1.124130157633486945e-05, 1.447495618041922474e-05, 5.899554386530061426e-05, 7.596610645941345285e-05
-1.969117647058823906e+01, 1.220551013840316185e-05, 1.715799667720920401e-05, 6.889511828919951794e-05, 9.684988151070218190e-05
-1.953235294117646959e+01, 1.312605253499219107e-05, 2.013141767260332189e-05, 8.021687555124265134e-05, 1.230285664184466664e-04
-1.937352941176470722e+01, 1.489838139614028158e-05, 2.491605610939106252e-05, 9.311488372587675482e-05, 1.557253506836941102e-04
-1.921470588235294485e+01, 1.723998983231996550e-05, 3.142640314749218968e-05, 1.077499364519998216e-04, 1.964150196718261211e-04
-1.905588235294117538e+01, 1.988567481883364894e-05, 3.949884258134163265e-05, 1.242854676177103075e-04, 2.468677661333852007e-04
-1.889705882352941302e+01, 2.286211917425958460e-05, 4.947184120165317616e-05, 1.428882448391224241e-04, 3.091990075103322731e-04
-1.873823529411765065e+01, 2.619580629111898360e-05, 6.174801371872482459e-05, 1.637237893194936678e-04, 3.859250857420301367e-04
-1.857941176470588118e+01, 2.991208055256862428e-05, 7.680398522763617181e-05, 1.869505034535538204e-04, 4.800249076727259993e-04
-1.842058823529411882e+01, 3.403568575565017675e-05, 9.520140724658831166e-05, 2.127230359728136521e-04, 5.950087952911768327e-04
